# company,careers_url,notes
Apple,https://jobs.apple.com/en-us/search?team=product,Product roles across Apple
Amazon,https://www.amazon.jobs/en/job_categories/product-management,Product management listings
Microsoft,https://careers.microsoft.com/us/en/search-results?keywords=product%20manager,Product manager keyword search
Alphabet,https://careers.google.com/jobs/results/?distance=50&q=product%20manager,Google PM roles
Meta,https://www.metacareers.com/jobs,Meta careers portal
Walmart,https://careers.walmart.com/results?q=product%20manager,Walmart corporate roles
CVS Health,https://jobs.cvshealth.com/search-jobs/product%20manager,Healthcare PM roles
UnitedHealth Group,https://careers.unitedhealthgroup.com/us/en/search-results?keywords=product%20manager,UHG product roles
Berkshire Hathaway,https://www.berkshirehathaway.com/employment.html,Holding company info
Exxon Mobil,https://jobs.exxonmobil.com/search/?q=product%20manager,Energy roles
McKesson,https://careers.mckesson.com/en/jobs/?q=product%20manager,Healthcare distribution
AmerisourceBergen,https://careers.amerisourcebergen.com/us/en/search-results?q=product%20manager,Pharma services
Costco,https://www.costco.com/job-opportunities.html,Warehouse club
Cigna,https://jobs.cigna.com/us/en/search-results?q=product%20manager,Health insurance
AT&T,https://www.att.jobs/search-jobs/product%20manager,Telecom
Cardinal Health,https://jobs.cardinalhealth.com/search-jobs/product%20manager,Medical distribution
Chevron,https://careers.chevron.com/job-search,Energy
Home Depot,https://careers.homedepot.com/job-search-results/?keyword=product%20manager,Retail
Ford Motor,https://corporate.ford.com/careers.html,Automotive
General Motors,https://search-careers.gm.com/job-search-results/?keyword=product%20manager,Automotive
UPS,https://www.jobs-ups.com/search-jobs/product%20manager,Logistics
Citi,https://jobs.citi.com/search-jobs/product%20manager,Financial services
JPMorgan Chase,https://careers.jpmorgan.com/global/en/search?q=product%20manager,Finance
Bank of America,https://careers.bankofamerica.com/en-us/job-search?q=product%20manager,Finance
Wells Fargo,https://www.wellsfargojobs.com/en/jobs/?q=product%20manager,Finance
